Time,DV,YDESC,CL_Drug,DOSEGROUP,CL,Drug,YTYPE,ID,mdv,TIME_UNIT,UNIT
44,0,TNFa,HighExprHighAffinity,0.5,HighExpr,HighAffinity,5,2,1,h,ng/mL
68,0,TNFa,HighExprHighAffinity,0.5,HighExpr,HighAffinity,5,2,1,h,ng/mL
94,0,TNFa,HighExprHighAffinity,0.5,HighExpr,HighAffinity,5,2,1,h,ng/mL
18,0,TNFa,HighExprHighAffinity,5,HighExpr,HighAffinity,5,3,1,h,ng/mL
44,0,TNFa,HighExprHighAffinity,5,HighExpr,HighAffinity,5,3,1,h,ng/mL
68,0,TNFa,HighExprHighAffinity,5,HighExpr,HighAffinity,5,3,1,h,ng/mL
94,9.544323,TNFa,HighExprHighAffinity,5,HighExpr,HighAffinity,5,3,0,h,ng/mL
18,0,TNFa,HighExprHighAffinity,50,HighExpr,HighAffinity,5,4,1,h,ng/mL
44,36.927583333,TNFa,HighExprHighAffinity,50,HighExpr,HighAffinity,5,4,0,h,ng/mL
68,79.83588,TNFa,HighExprHighAffinity,50,HighExpr,HighAffinity,5,4,0,h,ng/mL
94,92.329366667,TNFa,HighExprHighAffinity,50,HighExpr,HighAffinity,5,4,0,h,ng/mL
18,0,TNFa,HighExprHighAffinity,500,HighExpr,HighAffinity,5,5,1,h,ng/mL
44,213.4785,TNFa,HighExprHighAffinity,500,HighExpr,HighAffinity,5,5,0,h,ng/mL
68,478.51226667,TNFa,HighExprHighAffinity,500,HighExpr,HighAffinity,5,5,0,h,ng/mL
94,934.33476667,TNFa,HighExprHighAffinity,500,HighExpr,HighAffinity,5,5,0,h,ng/mL
18,0,TNFa,HighExprHighAffinity,5000,HighExpr,HighAffinity,5,6,1,h,ng/mL
44,195.38723333,TNFa,HighExprHighAffinity,5000,HighExpr,HighAffinity,5,6,0,h,ng/mL
68,796.73823333,TNFa,HighExprHighAffinity,5000,HighExpr,HighAffinity,5,6,0,h,ng/mL
94,1426.9643333,TNFa,HighExprHighAffinity,5000,HighExpr,HighAffinity,5,6,0,h,ng/mL
18,0,TNFa,HighExprHighAffinity,50000,HighExpr,HighAffinity,5,7,1,h,ng/mL
44,199.4678,TNFa,HighExprHighAffinity,50000,HighExpr,HighAffinity,5,7,0,h,ng/mL
68,646.6904,TNFa,HighExprHighAffinity,50000,HighExpr,HighAffinity,5,7,0,h,ng/mL
94,1531.6236667,TNFa,HighExprHighAffinity,50000,HighExpr,HighAffinity,5,7,0,h,ng/mL
18,0,IFNg,HighExprLowAffinity,0,HighExpr,LowAffinity,4,10,1,h,ng/mL
44,0,IFNg,HighExprLowAffinity,0,HighExpr,LowAffinity,4,10,1,h,ng/mL
68,0,IFNg,HighExprLowAffinity,0,HighExpr,LowAffinity,4,10,1,h,ng/mL
94,0,IFNg,HighExprLowAffinity,0,HighExpr,LowAffinity,4,10,1,h,ng/mL
